domain,layer_num,head,rf,correct,source
AIMP2_4apes,1,1,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head1_tree.nwk
AIMP2_4apes,1,10,2,FALSE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head10_tree.nwk
AIMP2_4apes,1,11,2,FALSE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head11_tree.nwk
AIMP2_4apes,1,12,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head12_tree.nwk
AIMP2_4apes,1,13,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head13_tree.nwk
AIMP2_4apes,1,14,2,FALSE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head14_tree.nwk
AIMP2_4apes,1,15,2,FALSE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head15_tree.nwk
AIMP2_4apes,1,16,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head16_tree.nwk
AIMP2_4apes,1,17,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head17_tree.nwk
AIMP2_4apes,1,18,0,TRUE,/home/rohan/PLM-Phylo/Results/Trees/ESM_35M_Trees/Attention_Trees/OMAM20/OMAM20_4apes/Trees/AIMP2_4apes/AIMP2_4apes/layer1/AIMP2_4apes_layer1_head18_tree.nwk
