"Head","Layer","n_correct","n_wrong","denom","pct_correct"
1,1,11,9,20,55
2,1,13,7,20,65
3,1,17,3,20,85
4,1,10,10,20,50
5,1,1,19,20,5
6,1,12,8,20,60
7,1,9,11,20,45
8,1,6,14,20,30
9,1,12,8,20,60
10,1,11,9,20,55
11,1,8,12,20,40
12,1,10,10,20,50
1,2,14,6,20,70
2,2,9,11,20,45
3,2,10,10,20,50
4,2,6,14,20,30
5,2,14,6,20,70
6,2,9,11,20,45
7,2,13,7,20,65
8,2,13,7,20,65
9,2,15,5,20,75
10,2,12,8,20,60
11,2,7,13,20,35
12,2,13,7,20,65
1,3,16,4,20,80
2,3,13,7,20,65
3,3,18,2,20,90
4,3,14,6,20,70
5,3,7,13,20,35
6,3,8,12,20,40
7,3,14,6,20,70
8,3,13,7,20,65
9,3,18,2,20,90
10,3,3,17,20,15
11,3,13,7,20,65
12,3,16,4,20,80
1,4,17,3,20,85
2,4,17,3,20,85
3,4,15,5,20,75
4,4,6,14,20,30
5,4,15,5,20,75
6,4,13,7,20,65
7,4,11,9,20,55
8,4,16,4,20,80
9,4,15,5,20,75
10,4,12,8,20,60
11,4,16,4,20,80
12,4,12,8,20,60
1,5,10,10,20,50
2,5,16,4,20,80
3,5,5,15,20,25
4,5,15,5,20,75
5,5,17,3,20,85
6,5,11,9,20,55
7,5,12,8,20,60
8,5,9,11,20,45
9,5,14,6,20,70
10,5,12,8,20,60
11,5,8,12,20,40
12,5,18,2,20,90
1,6,8,12,20,40
2,6,11,9,20,55
3,6,17,3,20,85
4,6,7,13,20,35
5,6,9,11,20,45
6,6,12,8,20,60
7,6,14,6,20,70
8,6,13,7,20,65
9,6,6,14,20,30
10,6,18,2,20,90
11,6,8,12,20,40
12,6,15,5,20,75
1,7,15,5,20,75
2,7,6,14,20,30
3,7,8,12,20,40
4,7,11,9,20,55
5,7,11,9,20,55
6,7,12,8,20,60
7,7,13,7,20,65
8,7,5,15,20,25
9,7,19,1,20,95
10,7,12,8,20,60
11,7,3,17,20,15
12,7,3,17,20,15
1,8,15,5,20,75
2,8,18,2,20,90
3,8,17,3,20,85
4,8,17,3,20,85
5,8,20,0,20,100
6,8,10,10,20,50
7,8,8,12,20,40
8,8,10,10,20,50
9,8,5,15,20,25
10,8,14,6,20,70
11,8,19,1,20,95
12,8,4,16,20,20
1,9,6,14,20,30
2,9,6,14,20,30
3,9,9,11,20,45
4,9,15,5,20,75
5,9,11,9,20,55
6,9,20,0,20,100
7,9,2,18,20,10
8,9,18,2,20,90
9,9,8,12,20,40
10,9,8,12,20,40
11,9,17,3,20,85
12,9,18,2,20,90
1,10,12,8,20,60
2,10,10,10,20,50
3,10,6,14,20,30
4,10,5,15,20,25
5,10,9,11,20,45
6,10,12,8,20,60
7,10,5,15,20,25
8,10,5,15,20,25
9,10,3,17,20,15
10,10,2,18,20,10
11,10,13,7,20,65
12,10,3,17,20,15
1,11,4,16,20,20
2,11,13,7,20,65
3,11,16,4,20,80
4,11,14,6,20,70
5,11,6,14,20,30
6,11,15,5,20,75
7,11,11,9,20,55
8,11,16,4,20,80
9,11,5,15,20,25
10,11,18,2,20,90
11,11,9,11,20,45
12,11,16,4,20,80
1,12,16,4,20,80
2,12,13,7,20,65
3,12,11,9,20,55
4,12,20,0,20,100
5,12,20,0,20,100
6,12,18,2,20,90
7,12,18,2,20,90
8,12,13,7,20,65
9,12,19,1,20,95
10,12,11,9,20,55
11,12,9,11,20,45
12,12,16,4,20,80
