path,layer,head,correct,status
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head10_aDist_tree.nwk,10,10,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head11_aDist_tree.nwk,10,11,True,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head12_aDist_tree.nwk,10,12,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head1_aDist_tree.nwk,10,1,True,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head2_aDist_tree.nwk,10,2,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head3_aDist_tree.nwk,10,3,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head4_aDist_tree.nwk,10,4,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head5_aDist_tree.nwk,10,5,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head6_aDist_tree.nwk,10,6,True,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head7_aDist_tree.nwk,10,7,False,ok
/home/rohan/PLM-Phylo/Results/Trees/MSAT_Trees/OMAM20_4mammalsAligned/TF_4mammalsAligned/Trees/aDist_Trees/TF_4mammalsAligned_layer10_head8_aDist_tree.nwk,10,8,False,ok
