layer,n,correct,pct_correct
1,12,8,66.66666666666667
2,12,7,58.333333333333336
3,12,8,66.66666666666667
4,12,8,66.66666666666667
5,12,4,33.333333333333336
6,12,4,33.333333333333336
7,12,3,25.0
8,12,2,16.666666666666668
9,12,6,50.0
10,12,3,25.0
11,12,6,50.0
12,12,9,75.0
