layer,n,correct,pct_correct
1,20,16,80.0
2,20,16,80.0
3,20,18,90.0
4,20,20,100.0
5,20,17,85.0
6,20,20,100.0
7,20,17,85.0
8,20,18,90.0
9,20,19,95.0
10,20,18,90.0
11,20,20,100.0
12,20,19,95.0
